"Signal","Type","DataType","Deprecated","Unit","Min","Max","Desc","Comment","Allowed","Default","Id"
"Vehicle.Body.Mirrors.DriverSide.IsLocked","actuator","boolean","","","","","Is mirror movement locked? True = Locked, mirror will not react to Tilt/Pan change. False = Unlocked.","","","","d267fc64959e59ce8335911faa87980f"
"Vehicle.Body.Mirrors.DriverSide.IsFolded","actuator","boolean","","","","","Is mirror folded? True = Fully or partially folded. False = Fully unfolded.","","","","0ade6b89326052829a49da918aacf0b7"
"Vehicle.Body.Mirrors.PassengerSide","branch","","","","","","All mirrors.","","","","8025a1e06e9d5ddb96405cce1f1f38cb"
"Vehicle.Body.Mirrors.PassengerSide.Tilt","actuator","int8","","percent","-100","100","Mirror tilt as a percent. 0 = Center Position. 100 = Fully Upward Position. -100 = Fully Downward Position.","","","","0f3734b090065873a7feb40931c72a28"
"Vehicle.Body.Mirrors.PassengerSide.Pan","actuator","int8","","percent","-100","100","Mirror pan as a percent. 0 = Center Position. 100 = Fully Left Position. -100 = Fully Right Position.","","","","d3dc2e11874f528fa0987e596993bde8"
"Vehicle.Body.Mirrors.PassengerSide.IsHeatingOn","actuator","boolean","","","","","Mirror Heater on or off. True = Heater On. False = Heater Off.","","","","9d64ad38532658298e5f59a2f999ef57"
"Vehicle.Body.Mirrors.PassengerSide.IsLocked","actuator","boolean","","","","","Is mirror movement locked? True = Locked, mirror will not react to Tilt/Pan change. False = Unlocked.","","","","b919c8699dae540a840fbd296df49aca"
"Vehicle.Body.Mirrors.PassengerSide.IsFolded","actuator","boolean","","","","","Is mirror folded? True = Fully or partially folded. False = Fully unfolded.","","","","2b0bedf76d29520d9b96469695c3e0e8"
"Vehicle.Body.RearMainSpoilerPosition","actuator","float","","percent","0","100","Rear spoiler position, 0% = Spoiler fully stowed. 100% = Spoiler fully exposed.","","","","6209a82390585b869cc3d00d069eade2"
"Vehicle.Body.PowerOptimizeLevel","actuator","uint8","","","0","10","Power optimization level for this branch/subsystem. A higher number indicates more aggressive power optimization. Level 0 indicates that all functionality is enabled, no power optimization enabled. Level 10 indicates most aggressive power optimization mode, only essential functionality enabled.","","","","2fe44a1c3bb155aca782b017efeb6175"
"Vehicle.Body.IsAutoPowerOptimize","actuator","boolean","","","","","Auto Power Optimization Flag When set to 'true', the system enables automatic power optimization, dynamically adjusting the power optimization level based on runtime conditions or features managed by the OEM. When set to 'false', manual control of the power optimization level is allowed.","","","","88dbf1bf7bbd5b94b8cc5d93113abb44"
